ear	iddam	idsire	DateBled	BleedAge	Wn2Bl	WBC	RBC	Hemoglobin	Hematocrit	MCV	MCH	MCHC	RDW	Platelet.Auto	MPV	Neutrophil	Lymphocyte	Monocyte	Eosinophil	Basophil	UnidentifiedCells	PlateletsClumped	Sick
3409	108002908	108001602	12/14/2012	36	8	13.32	6.79	9	30.4	44.7	13.2	29.6	25.6	585	9.6	4.28	8.3	0.52	0.12	0.04	0.07	No	1
3609	108001506	108000605	12/27/2012	47	21	20.35	6.54	10.3	33.6	51.3	15.8	30.7	24.9	467	10.3	7.2	11.05	1.44	0.43	0.08	0.14	Yes	1
3610	108001506	108000605	12/27/2012	47	21	20.84	6.45	10	31.5	48.9	15.5	31.6	23	484	10.3	8.04	10.8	0.88	0.58	0.04	0.48	Yes	1
3703	108001609	108008901	12/27/2012	47	21	17.78	6.82	10.6	34.8	50.9	15.5	30.4	19.6	725	9.6	6.7	9.58	0.6	0.53	0.07	0.28	No	1
3811	108002012	108010501	12/27/2012	46	21	16.84	7.14	11.9	36.9	51.7	16.7	32.3	19.1	369	11.5	7.06	8.29	0.81	0.61	0.03	0.05	Yes	1
3910	108003604	108010903	12/27/2012	45	21	20.36	6.22	9.4	31.8	51.1	15	29.4	22.6	642	9.6	6.29	12.42	0.96	0.35	0.08	0.26	No	1
3912	108003604	108010903	12/27/2012	45	21	19.74	5.97	10.7	32.7	54.9	18	32.7	17.2	507	10.3	9.06	8.84	0.89	0.69	0.04	0.24	Yes	1
4007	108008108	108007603	12/27/2012	44	21	15.52	6.41	10.2	33.9	52.9	15.9	30	24.7	822	9.1	2.79	11.21	1.09	0.33	0.05	0.06	Yes	1
4110	108004409	108005907	12/27/2012	43	21	12.09	6.12	10.1	32	52.3	16.5	31.5	22.7	381	11.7	5.59	5.66	0.44	0.36	0.02	0.04	Yes	1
4111	108004409	108005907	12/27/2012	43	21	9.19	6.01	10.3	31.9	53	17.2	32.4	21.3	341	12.5	2.73	5.73	0.35	0.22	0.04	0.13	Yes	1
4208	108009011	108000605	12/27/2012	43	21	9.02	6.61	10.7	34.5	52.2	16.2	31	17.6	269	10.3	2.89	5.22	0.42	0.28	0.02	0.19	Yes	1
4210	108009011	108000605	12/27/2012	43	21	12.28	6	10.6	33.3	55.4	17.6	31.7	22.3	511	9.1	6.98	4.67	0.37	0.16	0.01	0.09	Yes	1
4213	108009011	108000605	12/27/2012	43	21	9.46	6.08	9.6	33.3	54.8	15.9	29	25.7	396	9.9	3.98	4.85	0.24	0.12	0.05	0.21	Yes	1
4303	108000407	108008901	12/27/2012	43	14	23.83	6.27	9.8	33.1	52.7	15.6	29.5	19.1	467	11.3	6.7	14.89	1.31	0.79	0.05	0.07	Yes	1
4406	108002007	108000605	12/27/2012	42	14	14.37	5.6	9.7	31.8	56.9	17.3	30.4	19.1	634	9.5	5.43	7.72	0.57	0.52	0.03	0.1	Yes	1
4410	108002007	108000605	12/27/2012	42	14	19.06	6.62	9.6	32.6	49.2	14.5	29.4	26.4	751	10.2	10.18	8.01	0.5	0.25	0.02	0.1	No	1
4506	108004307	108005203	12/27/2012	39	14	15.84	6.19	8.5	29.2	47.2	13.7	29.1	27	880	10.3	6.35	8.46	0.59	0.29	0.03	0.13	Yes	1
4611	108004608	108010101	12/27/2012	38	14	9.08	5.85	9.1	31.4	53.7	15.6	29.1	27.1	631	10	3.73	4.73	0.35	0.18	0.02	0.07	Yes	1
4907	108002305	108010501	12/27/2012	37	14	13.91	6.51	10.6	35.1	53.9	16.2	30.1	19.7	703	9.8	6.41	6.37	0.53	0.46	0.03	0.11	No	1
5209	108009708	108005501	1/2/2013	38	20	9.41	6.25	11.2	35.7	57.2	17.9	31.3	17.9	344	11.4	3.97	4.82	0.37	0.15	0.03	0.08	Yes	1
5210	108009708	108005501	1/2/2013	38	20	11.39	5.69	8.9	30.4	53.4	15.7	29.4	22.4	214	12.7	3.39	6.78	0.69	0.46	0.05	0.03	Yes	2
5307	108009009	108010903	1/2/2013	38	20	12.21	6.11	10.8	34.9	57.1	17.8	31.1	17.8	447	10.5	5.6	5.98	0.24	0.27	0.02	0.09	No	1
5404	108005706	108005501	1/9/2013	43	13	10.37	6.2	10.6	36.3	58.6	17.2	29.3	19.1	483	9.2	2.91	6.23	0.64	0.33	0.03	0.22	Yes	1
