"","log2fc.line.logcbc","pvalue.line.logcbc","qvalue.line.logcbc","log2fc.line.cbc","pvalue.line.cbc","qvalue.line.cbc"
"ENSSSCG00000000002",0.252770973268165,0.0407224692486893,0.124743263930519,0.186994783573747,0.0774935798358305,0.196692221639638
"ENSSSCG00000000003",0.238315596918866,0.00764512694989894,0.0581763835749095,0.202590002149036,0.0161134548030879,0.0992034211934639
"ENSSSCG00000000005",0.0764555960625229,0.430213163490586,0.400594451634483,0.0928136950303058,0.305589112019669,0.366868171655018
"ENSSSCG00000000007",0.0470149582667038,0.597952937264353,0.468982160035249,0.0370782918696314,0.64762700602934,0.510458377776551
"ENSSSCG00000000010",0.174326709732724,0.532072102560607,0.442180304111585,0.08290448725167,0.760980986082549,0.546254773182208
"ENSSSCG00000000014",0.0270051361519946,0.725684505802606,0.514438936829765,0.0511767524478562,0.475813179326538,0.446279947506271
"ENSSSCG00000000018",0.0154391520587369,0.858050939138238,0.557568201321808,0.0191258800831058,0.82555606640913,0.564885954187649
"ENSSSCG00000000019",0.0961831332478199,0.20836414595726,0.279770734336615,0.168934328415311,0.0935551356000425,0.214165476051982
"ENSSSCG00000000022",0.0859267293315617,0.360438290598716,0.367662890186899,0.0282857040561179,0.758295407290617,0.545694263441103
"ENSSSCG00000000024",0.173809259285841,0.442619821020106,0.405466008448928,0.130859642472708,0.537659467746353,0.472534362112772
"ENSSSCG00000000025",0.131087003239961,0.0567565678651304,0.145821047981051,0.1079171649749,0.0906920020210913,0.211292051145314
"ENSSSCG00000000029",0.442980517196522,0.0334718170175146,0.11585446439646,0.37046888657674,0.0591198996409907,0.175984498350986
"ENSSSCG00000000031",0.17561471717367,0.0691660461475616,0.159866602652163,0.139137463688897,0.128340739693149,0.246039935722704
"ENSSSCG00000000033",0.286216416631853,0.0217208913506289,0.0933831323716958,0.323125326248738,0.00806793529024552,0.0740881888429807
"ENSSSCG00000000034",0.0966122222818102,0.0713437098121437,0.161973106362668,0.131897657792901,0.0410151379133277,0.148300505610792
"ENSSSCG00000000035",0.440729107594936,0.00015820131605726,0.0113791327923229,0.438031601526062,0.000125720563595166,0.0113299977794198
"ENSSSCG00000000036",0.275781464129763,0.00319588078655175,0.0401689154033832,0.317509471439478,0.00110177346127194,0.0326489927472148
"ENSSSCG00000000037",0.160948782580722,0.00350810070469942,0.0417876701589196,0.155017092573845,0.00490421695808174,0.0599404294876657
"ENSSSCG00000000038",0.0433853581878311,0.681465444380965,0.499234558289341,0.0210307192641836,0.83662052491711,0.567755832537796
"ENSSSCG00000000039",0.0230757679702834,0.650506917041386,0.488910542240375,0.0120083990458557,0.847164095342858,0.570265247764991
"ENSSSCG00000000040",0.0518378494890529,0.617490661555085,0.476306004420157,0.0948354951838733,0.392215249250061,0.40879445367514
"ENSSSCG00000000042",0.0713567469115226,0.397966927065354,0.385231562648577,0.0640361728401463,0.428136354537713,0.423942273225059
"ENSSSCG00000000045",0.429309053663549,0.0310969434061773,0.1110728400324,0.503810172544766,0.00951827992772758,0.0781522874417149
"ENSSSCG00000000046",0.099819796362726,0.545195397319345,0.44833327089205,0.057776831066021,0.719769643764538,0.533392059179101
"ENSSSCG00000000047",0.0645528341798802,0.816851587713536,0.544361951765724,0.12947174457464,0.641678296314424,0.508419334737072
"ENSSSCG00000000050",0.155146537969078,0.136384217769242,0.224592544836013,0.117037287798549,0.246728233304507,0.331750347855062
"ENSSSCG00000000058",0.128857612129063,0.0242644651124886,0.097764752305383,0.095269625322124,0.0900731888375714,0.210414569801697
"ENSSSCG00000000059",0.140677947401811,0.00744499169928847,0.0576157000932197,0.100757205361761,0.0319376870692524,0.134663979299892
"ENSSSCG00000000060",0.182394530267109,0.230628133289498,0.293519394497284,0.207625643175539,0.159216295089141,0.269657667442809
"ENSSSCG00000000061",0.0105433356454495,0.887576297318209,0.566023775888532,0.0301968378302601,0.686971258399335,0.523945453881515
"ENSSSCG00000000062",1.29715644244313,0.000112356376207545,0.0102384747819126,0.859979012430997,0.014715758032835,0.0947279432750479
"ENSSSCG00000000063",0.117278215375241,0.158234789942295,0.242428312787108,0.0669409044509313,0.400505862974997,0.412415178283725
"ENSSSCG00000000064",0.0802584010226186,0.0755518387801997,0.166749289950849,0.0949485859593636,0.0629207541485712,0.18070762497543
"ENSSSCG00000000066",0.226063901209471,4.24091914453806e-05,0.0065779362901452,0.186916290400847,0.000158100120249194,0.0131398766607108
"ENSSSCG00000000067",0.369876498587166,0.126873829755335,0.215697345829382,0.376077924599366,0.118239528129281,0.237401601692479
"ENSSSCG00000000068",0.0198311001938057,0.738221433187136,0.519206836498678,0.025712716978353,0.747184068994991,0.542509885078872
"ENSSSCG00000000071",0.25482180604078,0.0111486060217352,0.0694643913661961,0.231273142949112,0.0113394817969684,0.0846500237937363
"ENSSSCG00000000072",0.00863840283872684,0.844268476656297,0.552834892333383,0.0154781140896796,0.709843146236283,0.530785446757729
"ENSSSCG00000000075",0.00141948934497966,0.985061320692194,0.58962495285198,0.0639772953262041,0.402167918458556,0.413356173682967
"ENSSSCG00000000076",0.293797741794589,0.0538727810383217,0.142286240322479,0.289944613321452,0.0444659564961503,0.152641282510878
"ENSSSCG00000000077",0.0415996255837734,0.413343965313815,0.39217070027221,0.00214695599620806,0.965604486010445,0.600991974984035
"ENSSSCG00000000078",0.0782954376423204,0.207345871041324,0.278935486232008,0.125856009101594,0.0503914541176008,0.163242995582353
"ENSSSCG00000000080",0.0265424460699985,0.747684735662167,0.522140216781033,0.0510032067000641,0.503409061873622,0.459930365712047
"ENSSSCG00000000082",1.05418495803777,0.000457888600928325,0.0176614174643782,0.804738764735716,0.00517474069537172,0.0614397784148896
"ENSSSCG00000000083",0.0443382555507943,0.495821411101413,0.428005701139318,0.0372327293545239,0.55662189515688,0.478971263332912
"ENSSSCG00000000084",0.0369843100155522,0.464550096321518,0.41540864051646,0.0482184862530005,0.348350075139392,0.387689117994741
"ENSSSCG00000000087",0.0361215664864957,0.549993799306417,0.450637354778914,0.00138705096759781,0.981018759943076,0.604681049974943
