"GeneID"	"X3409"	"X3609"	"X3610"	"X3703"	"X3811"	"X3910"	"X3912"	"X4007"	"X4110"	"X4111"	"X4208"	"X4210"	"X4213"	"X4303"	"X4406"	"X4410"	"X4506"	"X4611"	"X4907"	"X5209"	"X5210"	"X5307"	"X5404"	"X5405"	"X5407"	"X5409"	"X5604"	"X5815"	"X6106"	"X6206"	"X6207"	"line_pvalue"	"line_qvalue"	"log2fc"
"ENSSSCG00000000625"	110	104	94	193	26	27	67	101	22	31	87	96	83	208	90	105	349	161	39	230	66	80	215	163	262	337	256	71	125	364	164	3.18462012316445e-09	1.16079403489344e-05	-1.58565794302958
"ENSSSCG00000000633"	2702	8304	5428	11238	5193	2140	7004	8608	4022	7732	7568	8597	6677	11249	7421	10956	30124	36487	7666	35226	8080	5514	12934	15093	19019	12772	27146	7356	17189	17684	21648	4.76252166481395e-07	0.000578646382274894	-1.40622069206782
"ENSSSCG00000000636"	9	590	605	13	27	26	17	97	13	60	125	12	22	99	11	64	21	3	18	7	39	20	4	5	8	8	22	11	9	14	6	2.45840210449932e-05	0.00512050038337145	2.19921082900228
"ENSSSCG00000000639"	13	158	18	47	5	13	37	107	4	35	29	7	18	50	7	55	105	29	8	39	82	13	44	40	109	92	337	9	13	245	90	2.90186344752419e-05	0.0054898755468187	-1.66512154084636
"ENSSSCG00000000651"	2	108	71	63	83	17	50	61	48	115	39	81	50	9	105	144	271	14	109	5	21	46	26	44	5	3	11	117	57	12	7	0.00193771806013199	0.0329050109341662	1.02719996437823
"ENSSSCG00000001229"	3051	64472	37926	19100	21965	23404	51359	7835	27311	65032	59024	28414	11037	8507	18500	57432	84209	5886	39225	18097	14507	32021	21339	25038	9750	14310	17381	15292	6948	16319	7178	1.82242477274608e-05	0.00442849219777297	1.07619987486378
"ENSSSCG00000001605"	20	109	18	79	44	17	60	117	25	48	29	274	363	176	135	168	312	577	110	284	118	171	400	389	297	95	324	153	200	201	206	0.0012351960863739	0.0273451025320941	-1.0388022711141
"ENSSSCG00000001942"	6	30	5	21	11	5	12	35	4	6	5	106	39	32	83	27	89	185	47	95	39	38	131	78	126	25	54	56	154	30	74	0.0047860693424836	0.0480584648852692	-1.18994579885159
"ENSSSCG00000001943"	2	9	2	6	4	3	3	15	4	8	2	47	22	14	28	10	54	74	17	40	14	13	50	45	40	8	26	21	64	20	36	0.0045020735728476	0.0470343048532312	-1.23987387900488
"ENSSSCG00000003595"	42	176	66	133	107	42	108	103	31	61	101	277	236	176	191	218	580	345	150	327	200	144	329	456	555	211	401	178	421	260	239	0.000172644370803221	0.0113791435139444	-1.09704434258461
