"GeneID"	"X3409"	"X3609"	"X3610"	"X3703"	"X3811"	"X3910"	"X3912"	"X4007"	"X4110"	"X4111"	"X4208"	"X4210"	"X4213"	"X4303"	"X4406"	"X4410"	"X4506"	"X4611"	"X4907"	"X5209"	"X5210"	"X5307"	"X5404"	"X5405"	"X5407"	"X5409"	"X5604"	"X5815"	"X6106"	"X6206"	"X6207"	"line_pvalue"	"line_qvalue"	"log2fc"
"ENSSSCG00000000047"	3	57	40	47	56	31	58	4	53	64	72	29	44	9	29	138	110	6	37	1	4	25	1	6	1	7	25	5	1	19	0	1.41596325207161e-05	0.00416211505921433	1.62724764603496
"ENSSSCG00000000625"	137	98	85	169	52	32	73	97	23	31	94	97	90	178	80	70	373	203	46	206	78	83	193	180	280	352	215	89	123	323	190	3.47070594486354e-08	0.000132624350918098	-1.55368917157551
"ENSSSCG00000000633"	2975	8428	5695	10732	5359	2356	6377	8421	4039	8231	6935	9200	6826	11170	6643	10834	31564	38639	7489	33135	8359	5830	12986	13515	19309	12725	27516	7300	17458	17771	23920	4.86559436629896e-07	0.000531218642063426	-1.42170311575056
"ENSSSCG00000000636"	6	605	584	15	30	25	19	81	10	76	120	14	25	107	10	51	15	4	9	8	42	14	7	5	12	9	24	13	7	23	4	8.71637828157024e-05	0.00994252552491053	2.1661728665812
"ENSSSCG00000000639"	11	128	14	36	4	7	33	88	4	28	41	4	14	51	8	43	117	30	8	22	76	9	43	35	104	97	301	7	11	227	79	6.0316623723633e-05	0.00823160351442616	-1.77957176554407
"ENSSSCG00000001228"	355	3357	1442	526	1517	965	1619	231	1214	3797	4213	1694	901	904	636	3052	4438	219	1970	1042	837	1517	1131	1137	839	1183	1707	780	100	370	107	0.000256597328385677	0.0159434559527442	1.01505131265714
"ENSSSCG00000001605"	24	61	13	49	35	9	29	91	6	33	10	212	286	128	76	108	245	463	77	181	97	133	248	233	215	66	266	113	120	126	141	0.00273111019783567	0.0417429177201953	-1.06250776036695
"ENSSSCG00000003595"	56	168	64	118	98	52	106	73	33	66	76	301	222	186	192	205	605	389	150	316	216	161	292	396	557	216	383	187	418	264	238	0.000620221439120661	0.0234696800758598	-1.08383453970367
"ENSSSCG00000003753"	25	87	58	207	55	27	40	116	72	98	88	236	260	106	105	181	641	661	70	400	228	261	160	217	127	115	480	127	193	349	189	0.000292866669383773	0.0165426081885756	-1.15567101776207
"ENSSSCG00000003965"	19	26	19	37	10	3	23	27	5	9	4	2	10	30	10	33	67	22	22	28	15	11	20	16	37	31	42	1	10	34	13	0.000185467862063859	0.0151172121041267	-1.09953567355091
