idpig	line	diet	rfi2	block	order_in_block	pre_conc	pre_RIN	post_conc	post_RIN
6206	2	2	0.411808096	1	1	347.52	9.3	123	7.6
5815	1	2	-1.971823573	1	2	1204.32	8.6	157	8.2
5307	1	1	-0.99050181	1	3	976.02	8.6	185	8.3
4506	2	1	1.085140309	1	4	675.75	8.8	146	8.2
4611	2	2	0.21830723	1	5	800.79	9.6	154	8.4
4111	1	2	-2.287018241	1	6	422.07	8.8	157	8.2
3409	2	1	1.246630585	1	7	216.33	9.7	76	8.8
3811	1	2	-2.117360518	2	1	289.8	8.8	106	7.7
5409	2	2	0.191255492	2	2	362.91	9.3	155	8.5
3609	1	1	-0.957876492	2	3	945.81	8.9	215	7.8
6207	2	1	1.203737365	2	4	1116.9	8.7	208	8.4
4210	1	1	-0.972664249	2	5	1079.55	9.1	212	8.5
6106	2	1	1.090432816	2	6	1062.9	9	184	8.6
3610	1	2	-2.058116699	2	7	460.23	9.3	184	8.5
5407	2	2	0.342731574	2	8	594.96	8.7	173	8.3
5405	2	1	1.243950706	3	1	1255.77	9	180	8.1
4406	1	1	-1.047327611	3	2	971.58	9.1	149	8.7
5209	2	2	0.455409116	3	3	1106.22	8.9	198	8.5
3912	1	2	-2.178266996	3	4	429.87	8.9	194	8.1
4208	1	1	-0.954841491	3	5	276.03	9.1	114	8.5
3703	2	1	1.168461065	3	6	551.73	9.1	185	8.3
4907	1	2	-2.372489158	3	7	1006.08	8.7	197	8.2
5404	2	2	0.723483308	3	8	1697.94	8.7	141	8.6
4007	2	1	1.185326067	4	1	1116.84	9.2	145	8.2
4110	1	1	-0.93490042	4	2	311.43	9.5	121	8.3
4410	1	2	-2.388575807	4	3	644.79	9.2	171	7.9
5604	2	2	0.833698815	4	4	943.26	9	160	8
4213	1	2	-2.353162688	4	5	749.85	9.8	169	8.7
4303	2	2	0.289243751	4	6	1136.82	8.9	174	8.1
5210	2	1	1.312605401	4	7	892.98	9.2	180	7.9
3910	1	1	-0.978732473	4	8	692.07	9.1	182	8
