"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"
16	152	37	125	55	70	0	21	12	143	306	45	36	42	17	167	72	84	63	20	68	23	97	25	29	29	198	9	69	54	76
491	506	348	977	289	357	652	56	792	1003	89	224	17	1142	384	1473	517	1175	118	406	30	84	439	368	265	131	690	206	195	1168	332
14	534	366	22	118	1	124	43	50	16	139	92	164	63	17	202	655	38	1	121	20	6	236	72	3	291	105	162	42	140	98
34	170	306	48	254	236	153	359	222	566	115	310	79	486	40	2	143	21	205	113	271	475	39	90	40	104	279	7	19	237	70
10	0	10	8	1	0	30	13	18	0	47	29	7	10	1	56	121	25	7	9	7	6	8	10	55	9	17	25	59	8	9
15	109	96	790	117	1	22	120	14	46	325	165	132	67	121	223	2	155	60	15	15	45	26	113	63	50	117	83	11	282	3
198	892	497	655	716	314	702	414	171	553	133	189	290	27	1013	87	682	215	162	83	10	411	106	321	264	34	730	208	104	541	993
56	310	55	385	408	147	248	90	163	125	83	59	990	465	61	66	99	43	149	192	488	713	382	794	663	6	331	84	1	493	414
27	41	110	68	303	107	4	14	20	148	169	75	72	38	151	165	35	19	105	74	25	19	74	98	155	116	166	59	26	44	25
1334	3253	252	61	820	880	963	5317	1091	6991	482	1094	4232	2355	174	2905	998	31	234	1673	5710	369	3030	5448	1446	1105	4885	1213	1747	722	1748
27	447	3315	786	5582	754	1050	1774	934	4877	2839	105	1392	786	2425	425	1432	4780	2112	1344	1428	2908	1628	874	140	4784	3316	3757	148	3027	183
0	5	35	55	4	23	28	12	9	0	26	0	5	11	2	31	22	1	5	5	3	1	3	6	2	4	9	9	0	0	3
12	110	22	187	206	21	265	7	52	57	10	129	12	6	64	18	176	182	32	88	71	205	62	24	182	7	66	67	26	192	42
851	2275	2558	9829	1829	1948	329	1388	1347	2104	453	641	4319	49	267	10618	2880	689	1209	1084	401	4020	1528	1934	3197	280	5663	1502	879	1187	1027
676	4391	1700	324	528	221	255	398	439	1221	289	275	1989	400	117	1651	142	1412	1143	920	486	430	455	1548	2630	2676	2516	533	763	305	1345
37	466	30	368	191	46	36	48	11	279	0	24	54	136	148	118	363	299	348	319	196	49	106	83	57	163	14	102	39	50	146
747	2499	2958	4688	5223	836	5087	5815	2985	383	7829	671	84	498	1521	171	1160	5678	333	1199	601	2021	6484	1147	201	6431	3074	181	1398	5989	5586
2991	2722	635	533	942	2706	4679	291	11	3842	1702	44	2021	911	444	486	12550	236	203	91	1433	819	269	357	2277	647	3671	298	1183	559	331
77	1135	25	22	748	190	295	432	16	3750	60	2374	472	404	261	815	2113	1277	2253	652	128	16	789	332	93	235	1085	106	32	2709	308
311	222	1012	876	80	72	89	11	163	806	176	31	99	84	296	658	1366	20	356	104	125	302	513	66	89	161	326	72	181	526	102
59	11	212	64	65	156	51	24	227	160	237	58	169	113	158	35	142	139	32	32	23	172	74	256	27	53	19	49	272	181	2
5	139	493	437	556	175	514	108	39	403	687	65	20	142	142	600	47	118	687	267	339	129	203	127	87	101	68	157	90	401	52
47	6	20	36	35	6	46	96	2	133	33	27	9	10	4	5	99	36	2	46	3	55	14	46	14	12	186	33	4	64	66
6	3	4	2	1	14	30	1	0	4	19	6	12	0	1	1	5	5	4	11	13	2	28	13	9	6	18	1	23	3	4
20	31	41	90	7	46	34	2	32	97	58	6	10	28	97	111	42	1	24	1	0	67	0	1	2	20	11	10	5	21	0
28	193	3	294	159	32	231	26	1	84	68	7	249	197	41	130	14	186	184	174	67	191	52	25	17	108	11	91	5	525	75
1808	1300	1822	3871	2338	404	1963	836	1063	3703	2004	21	942	856	3296	280	36	404	6471	89	1311	862	576	736	137	665	327	98	119	23	3021
2323	1695	2723	2675	271	307	3599	515	1656	586	325	215	925	837	965	4081	50	324	749	690	573	741	129	1541	263	229	4659	923	1351	39	412
128	283	102	268	157	546	791	578	86	422	541	151	60	669	443	105	371	662	680	982	100	198	2188	67	1290	14	321	636	1076	84	32
24	240	40	344	110	26	133	40	39	18	156	162	9	93	59	30	94	22	13	315	6	119	55	31	9	8	129	46	4	43	77
87	4553	5935	9166	319	3613	5621	2611	511	1356	3334	1329	1758	4168	1094	5614	6741	5062	7033	554	2611	640	846	158	3047	3369	1491	929	693	9204	2059
190	1506	38	79	1347	150	816	1564	358	3332	50	1027	81	31	153	853	372	29	658	279	1009	747	623	410	358	1289	323	298	438	1194	132
23	1344	3397	780	331	109	477	1008	467	3437	414	109	4132	150	275	9137	1196	1878	329	3404	1599	704	1318	287	2249	2681	1170	2323	4548	1344	1247
3755	2705	557	642	5743	258	1217	5847	1597	2246	2167	12309	9879	4267	912	238	3949	6562	3053	2303	5132	2742	5819	650	15507	10261	28760	1059	27216	622	86
74	1166	1024	667	2134	773	1326	595	687	747	116	756	994	1111	1001	1665	19	353	375	351	133	1308	664	86	381	608	2163	800	444	72	199
518	33	407	772	296	89	1658	56	98	2098	157	408	196	280	777	1719	1333	688	384	81	1259	1417	653	190	418	256	320	464	84	133	530
8	2905	140	108	31	109	580	27	370	302	2439	347	533	364	275	514	400	714	592	325	517	1082	397	746	323	524	1578	139	180	149	508
863	2779	1913	147	2009	175	145	185	1861	315	3796	1974	496	1174	472	5904	4363	207	1400	865	285	927	537	3239	2438	4149	1632	1652	1366	4050	47
7	9	10	30	0	4	3	2	4	12	8	2	1	19	3	40	12	15	5	10	44	16	11	84	4	31	8	43	6	22	15
1060	7076	6632	3831	2962	151	24861	1237	1800	25538	33017	2337	15246	8246	9488	18891	8101	5657	375	57	3198	290	4080	1385	10351	7861	3856	2291	6897	8451	2611
3793	23470	4285	13450	17550	221	19220	20830	3860	40183	14634	11545	974	7363	36139	5445	116939	78	19979	14308	3767	8371	15515	5007	6489	35461	1843	25743	22670	5641	47487
4	81	40	2	1	1	106	20	57	32	26	6	31	76	1	22	34	5	6	63	20	4	16	3	24	120	45	3	25	14	91
137	155	990	624	201	71	279	169	62	1369	64	582	354	326	111	1342	1967	383	1043	94	332	177	173	78	357	812	321	236	593	142	39
3	3	30	9	4	8	2	3	2	27	10	0	0	12	2	10	6	6	1	3	4	13	1	0	21	5	40	0	4	7	25
28	245	93	48	99	10	104	61	115	234	42	161	152	8	5	197	149	26	30	13	45	34	47	17	25	12	18	40	22	2	12
1216	3979	3662	9380	3563	45	11170	151	1234	4211	1478	1881	313	4319	3261	846	843	2177	58	4990	460	2289	3182	2348	1127	9532	16127	744	527	13407	854
124	1698	178	118	2685	1376	1070	374	876	1498	2255	610	457	1076	214	1941	785	487	411	88	191	1192	1602	527	696	23	3041	475	1088	579	427
179	224	105	358	65	285	73	30	42	231	273	38	331	136	868	358	229	132	5	17	26	218	19	422	191	174	345	56	58	623	30
392	10342	64	210	41	1568	488	3178	7	710	2896	1091	388	707	1866	1380	378	1516	2295	340	976	1206	1137	544	280	10251	2661	1020	672	429	546
